id,text,label
68,"Question: Aik ache trainer ke elawa athletes ke leye aik ache nutritionist ki bhi ahmiyat hoti hai,kia aap is se ittefaq Karen gi?",Positive
69,Waklisha Aata,Positive
70,"Sonal Chauhanne Telugu film industry se umeedein wabasta kerty huey LEGEND naami film sign ker li hai jis ki aksbandi in dino tezi ke saath ho rahi hai jab ke ANTHONY DE SOZA ne bharti film BLUE ke sequel ASMAN mein AKSHAY KUMAR, KATREENA KAIF, ZAHID KHAN,SUNJAY DUTT,LARA DUTTA aur JOHN ABRAHAM ke saath ehm role mein cast kiya hai",Negative
71,Kuch bhi nahi pata bus uski personality pasand hai tumhay jiski waja sey itni mari ja rahi ho .,Neutral
72,Khaas taur par bachon ke muaamle mein.,Positive
73,Pervaiz Musharaf Murdabad,Neutral
74,Ab chalay ge aap ki marzi Tayyar Cottages me fori rehaish sirf 40 par Qabza baqaya 60,Positive
75,"Allah pak inhay salamat rakhy, aur inkay lehjay mai amal mai hamesha istiqamat, sachai, aur kashish rkhay ameen",Negative
76,Lekin is tarah ke waqeyat se Nisar Bazmi aur Noor Jahan mein badzani paida ho gai phir duniya ne ye bhi dekha ke Noor Jahan ne sazindon se Bazmi sahib ke leye kaam ka boycott karwa deya,Neutral
77,Hahaha actor in law,Positive
78,mujeh yeh chahiyee,Positive
79,Main garmiyon ke mosam mein shopping ke leye jata hun,Positive
80,Wait a minat sahir loodhe kya kar rha hy wo tu dikh raha hy lakin aik bat bataen ye jo chohty bachay bachyaan is program m shareek hain in k parents ki kya thinking hay??jo wo apny bachoon ko asy kam karny dy rahy hain??,Neutral
81,Shaukat Azizka Ben ul aqwami maliyati adaron ke sath porana taluq hai aur un ka ye taluq Pakistan ke maliyati adaron ko nmusthekam bana sakta hai,Negative
82,Siyasat ke sath sath aap sahafat mein bhi dilchaspi rakhte the aur tehrik e Pakistan ke doran aap ne mehsos kiya ke Punjab Muslim League aur tehreek e Pakistan ko Taqwiyat phochane ke liye aik musar akhbar hona chaheye chunacha unhon ne March 1940 mein 15 roza Nawa e waqat jari kiya jo bad mein roz name ki sorat ikhteyar kar gaya,Positive
83,Begum Liaquat ne un ki parwarish nihayat zimedari se ki.,Negative
84,is dunya mein burai achai...azal sey hai...abad tuk rahay gi...andhaira hai ujala hai....din hai raat hai.....laikin raat ki roshni kay lye chaand hai aur din kay lye suraj.Yahan fahaashi kay lye sazzaa kahan hai?,Neutral
85,achi performance ha size thora chota ha mere lie lekin halka ha bht iss lie full rating. Condition b achi ha,Negative
86,..........hmary wala haal..,Positive
87,mola hum sub ko zirat naseeb karin ameen,Negative
88,Audience mein hulchul mach jati hai,Positive
89,wo poochna tha k......... school... acadmy .... college ....aur universities mn bhi siasi campaign bann hy????????????????????,Neutral
90,mery damagh k ghelazat ka jeeta jagta saboot hmari frndship hai 😂😂 agr mai saaf mind rakhti tou tujh sy dosti krti 😜😜😂😂,Neutral
91,Mukhtasir se run up ke bawajood wo apni tez leg break se ball ko khasa bounce de lete hain,Positive
92,Allah Rab ul Izzat Ubqari idary aur Hakeem Tariq Mehmood sab ko es Eid ki barkatain aur karoron khushiun se nawazy aur apni hifz O amman main rakhy Ameen sum ameen Ya Rab ul Aalameen.,Negative
93,Khul kay naachna Shah rukh ji nay sikhaaya?,Neutral
94,Is page pe koe mujha btyh ga kia horaha hai!!!!,Positive
95,Indeed,Positive
96,Hahaha suche yara,Positive
97,HAHAAHAA!😂😂 samney bolnaa hawn😂😂,Positive
98,Yes,Positive
