id,text,label,text_2
10,United States State Department spokesman Richard Boucher said : ' It is our judgment that the possible avenues to a peaceful resolution were not fully explored at the Tokyo conference .,Paraphrase,""" It 's our judgment that the possible avenues to a peaceful resolution were not fully explored at the Tokyo conference , "" US State Department spokesman Richard Boucher said ."
11,"The company posted a profit of $ 54.3 million , or 22 cents per share , in the year-ago period .",Paraphrase,"That was up from the year-ago quarter , when the company earned $ 54.3 million , or 22 cents a share ."
12,The CGT warned of prolonged industrial action unless Raffarin agreed .,Not Paraphrase,The large CGT union warned France of lengthy industrial action .
13,SCO says the pricing terms for a license will not be announced for weeks .,Paraphrase,"Details on pricing will be announced within a few weeks , McBride said ."
14,"Loan losses , investment writedowns and legal costs led to the largest-ever loss for a European bank last year .",Paraphrase,"Loan losses , investment writedowns and legal costs led to the loss last year , the largest ever for a European bank ."
15,"After 10 years of debate , the government is requiring food labels to reveal exact levels of the artery clogger .",Paraphrase,"That 's about to change , now that the government is requiring food labels to reveal exact levels of the artery clogger ."
16,""" Our prognosis for a continued and steady recovery is being realized , and the outlook remains bright , "" bureau CEO Greg Stuart says .",Paraphrase,""" Our prognosis for a continued and steady recovery is being realized and the outlook remains bright , "" said Greg Stuart , president and CEO of the IAB ."
17,"Other members of the organization are believed to be in Pakistani cities , and many of the arrests of key al-Qaida operatives have taken place in those areas .",Paraphrase,"Other members of the organization are believed to be in Pakistani cities , where many of the arrests of key Al Qaeda operatives have taken place ."
18,"The tech-laced Nasdaq Composite Index .IXIC eased 5.16 points , or 0.32 percent , at 1,590.75 , breaking a six-day string of gains .",Not Paraphrase,"The tech-heavy Nasdaq Composite Index .IXIC was off 0.11 percent , or 1.78 points , at 1,594.13 ."
19,The number of extremely obese adults -- those who are at least 100 pounds overweight -- has quadrupled since the 1980s to about 4 million .,Paraphrase,"The number of Americans considered extremely obese , or at least 100 pounds overweight , has quadrupled since the 1980s to a startling 4 million , the research shows ."
20,The new research will be published soon in the Proceedings of the National Academy of Sciences .,Paraphrase,It will appear in the next few weeks on the Web site of the Proceedings of the National Academy of Sciences .
21,""" Until this site was reported , the earliest site in Bering land-bridge area was dated at about 11,000 years ago , "" Grayson said .",Paraphrase,""" Until this site was reported , the earliest site in the Bering land bridge area was dated at about 11,000 years ago . """
22,"Djerejian said that in the last month Syria has taken steps in response to the pressure , such as relocating the militant group offices out of Damascus .",Paraphrase,"Mr Djerejian said that in the past month Syria had taken some steps in response to the pressure , such as moving the militant group offices out of Damascus ."
23,The British Foreign Office said Monday that coalition authorities in Iraq were pleased that the men were freed .,Not Paraphrase,The British Foreign Office said it had mediated the two men 's release .
24,"Dogs , he said , are second only to humans in the thoroughness of medical understanding and research .",Paraphrase,He said that dogs are second only to humans in terms of being the subject of medical research .
25,Tony winners will be announced June 8 at the Radio City Music Hall in New York .,Paraphrase,Winners will be announced in a June 8 ceremony broadcast on CBS from Radio City Music Hall .
26,Such a step could put the issue before the UN Security Council .,Paraphrase,The matter could then be sent to the U.N. Security Council .
27,"He has been at UCSD since 1991 and was appointed chancellor in 1996 , after spending 22 years with AT & T Bell Labs , where he worked on superconductors and other materials .",Paraphrase,"Dynes has been at UC San Diego since 1991 after spending 22 years with AT & T Bell Labs , where he worked on superconductors and other materials ."
28,"Also Wednesday , a minibus detonated a roadside bomb in a Baghdad traffic tunnel , killing two people and wounding two others , hospital officials said .",Paraphrase,"Also today , a bomb explosion in a Baghdad traffic tunnel killed one civilian and wounded two others , Iraqi police said ."
29,The findings appear in Wednesday 's Journal of the American Medical Association ( news - web sites ) .,Paraphrase,The results are to be published in Wednesday 's issue of The Journal of the American Medical Association .
30,"The company will be able to start recording profits from HPS immediately , Perot Systems spokeswoman Mindy Brown said .",Paraphrase,"The company will begin adding to Perot Systems ' profits immediately , the company said ."
31,"When the bomb exploded at the Casa de España , customers were eating dinner and playing bingo .",Paraphrase,"At the Casa de Espaa , customers were eating dinner and playing bingo when a bomb went off ."
32,Peace Rules defeated Funny Cide in the Louisiana Derby .,Not Paraphrase,But neither he nor Peace Rules could keep Funny Cide from drawing away .
33,"Senate Minority Leader Tom Daschle , D-S.D. , is leading the opposition .",Not Paraphrase,""" I think it will pass , "" Senate Minority Leader Tom Daschle , D-S.D. , said in Washington ."
34,"SUVs parked on residential streets in Monrovia were tagged with "" ELF "" and other slogans , and another was set ablaze in front of a house , Sgt. Tom Wright said .",Not Paraphrase,"Several SUVs parked on residential streets in Monrovia were tagged with ``ELF ' ' and other slogans , said Sgt. Tom Wright ."
35,"Hong Kong was flat , Australia , Singapore and South Korea lost 0.2-0.4 percent .",Not Paraphrase,"Australia was flat , Singapore was down 0.3 percent by midday and South Korea added 0.2 percent ."
36,""" I 've stopped looters , run political parties out of abandoned buildings , caught people with large amounts of cash and weapons , "" Williams said .",Paraphrase,""" I 've stopped looters , run political parties out of abandoned buildings , caught people with large amounts of cash and weapons , "" said U.S. Army 2nd Lt. Cody Williams ."
37,"The council includes 13 Shiites , five Kurds , five Sunnis , one Christian and one Turkoman .",Paraphrase,"There are five ethnic Kurds , five Sunni Muslims , a Christian and a Turkoman ."
38,It is for that reason that legal scholars said the Denver ruling is at least plausible .,Paraphrase,It is for that reason that legal scholars said Judge Nottingham 's decision was at least plausible .
39,"For legal purposes , J.P. Morgan and Citigroup neither admit nor deny the SEC charges under the settlements .",Paraphrase,The banks did not admit or deny the SEC charges under the settlements .
40,"The Standard & Poor 's 500 Index slipped 4.77 , or 0.5 percent , to 929.62 .",Paraphrase,"The broad Standard & Poor 's 500 Index .SPX shed 0.17 of a point , or just 0.02 percent , to 934 ."
41,"Researchers found the fossils in a semidesert area of Venezuela , about 250 miles west of Caracas .",Paraphrase,"Phoberomys ' skeleton was unearthed 250 miles west of Caracas , Venezuela ."
42,But she said it will be difficult for investigators to directly tie any decline in shuttle funding to the February disaster .,Paraphrase,She cautioned that it will be difficult for investigators to tie any decline in shuttle funding directly to the February tragedy .
43,"Dean told reporters traveling on his 10-city "" Sleepless Summer "" tour that he considered campaigning in Texas a challenge .",Not Paraphrase,"Today , Dean ends his four-day , 10-city "" Sleepless Summer "" tour in Chicago and New York ."
44,Wyoming and New Mexico both reported two deaths within the past week .,Paraphrase,Wyoming and New Mexico reported their first deaths from the virus this past week .
45,The program only spreads further when a computer user clicks on the attached program that then secretly mails itself to e-mail addresses on the user 's computer .,Paraphrase,The program spreads further only when a computer user selects the attached program that then secretly mails itself to e-mail addresses stored in the user 's computer .
46,The Bush administration 's hope is that by increasing the efficiency of older power plants -- especially coal -- more power can be produced more cheaply .,Paraphrase,The administration 's hope is that by increasing the efficiency of older coal-fired plants - the most affected segment - more power can be produced more cheaply .
47,"The technology-laced Nasdaq Composite Index added 11.98 points , or 0.72 percent , to 1,680.42 .",Not Paraphrase,"The broader Standard & Poor 's 500 Index .SPX was off 1.07 points , or 0.11 percent , at 1,010.59 ."
48,"Taiwan has attempted to gain observer status to the United Nations-affiliated WHO for seven years , but again was rebuffed March 19 at its annual conference in Geneva .",Paraphrase,"It has sought observer status for seven years , but was again rebuffed May 19 at the annual WHO conference in Geneva ."
49,"Counties with population declines will be Vermillion , Posey and Madison .",Paraphrase,"Vermillion , Posey and Madison County populations will decline ."
50,"Each hull will cost about $ 1.4 billion , with each fully outfitted submarine costing about $ 2.2 billion , Young said .",Paraphrase,"Each hull produced by the yards will cost about $ 1.4 billion , and the completed submarines will cost about $ 2.2 billion each , Young said ."
51,"Agrawal said her research neither suggests nor indicates PCOS causes lesbianism , only that PCOS is more prevalent in lesbian women .",Paraphrase,"She continued : "" Our research neither suggests nor indicates that PCO / PCOS causes lesbianism , only that PCO / PCOS is more prevalent in lesbian women ."
52,"Shares of McDonald 's rose $ 1.83 , or 8.3 percent , to close at the day 's high of $ 23.89 .",Paraphrase,McDonald 's shares rose $ 1.83 to close Friday at $ 23.89 on the New York Stock Exchange .
53,"Yee is a 1990 graduate of the U.S. Military Academy at West Point , New York .",Not Paraphrase,Yee grew up in the United States and graduated from the U.S. Military Academy at West Point .
54,Russ Britt is the Los Angeles Bureau Chief for CBS.MarketWatch.com.,Not Paraphrase,Emily Church is London bureau chief of CBS.MarketWatch.com.
55,"A jury convicted rapper C-Murder , also known as Corey Miller , of second-degree murder Tuesday night in the shooting death of a 16-year-old in a Jefferson Parish nightclub .",Paraphrase,"Rapper C-Murder has been convicted of second-degree murder , a crime that carries an automatic life sentence , in the shooting death of a 16-year-old inside a Jefferson Parish nightclub ."
56,"Lawyers and others familiar with the federal investigation say it remains focused on Campbell , though prosecutors declined to discuss the probe .",Paraphrase,"While federal prosecutors refuse to discuss the investigation , lawyers and others familiar with it say it remains focused on Campbell ."
57,"But for a meaningful dialogue to begin , cross-border terrorism should end and terror infrastructure must be dismantled .",Paraphrase,""" But for a meaningful dialogue to begin , cross-border terrorism should end and its infrastructure should be dismantled . """
58,Papandreou said EU leaders would discuss the appointment of Trichet as ECB president on Thursday evening or Friday .,Paraphrase,Papandreou said EU leaders would discuss the appointment of Bank of France governor Jean-Claude Trichet as president of the European Central Bank on Thursday or Friday .
59,"All of a sudden , its like a bullet went through them its like a state of shock .",Paraphrase,""" All of a sudden , it 's like a bullet went through them - it 's like a state of shock ."
60,""" I don 't know whether that means two years or four years .",Paraphrase,""" Whether that means two years or four years , I don 't know . """
61,"ABC broadcast a special "" World News Tonight "" report out of Washington anchored by Ted Koppel .",Paraphrase,"Partly as a result , ABC chose to broadcast its special report out of Washington with Ted Koppel as anchor ."
62,"In winter , it is transformed into a treacherous embankment , a mountain of ice and snow that blankets everything .",Paraphrase,"In winter , Terrapin Point is transformed into a treacherous embankment of ice and snow that blankets everything -- the park , the railings , even the lampposts ."
63,Mr McDonnell is leading Grant Thornton International 's inquiry into the Italian business .,Not Paraphrase,Mr McDonnell wants to establish if the Italian business followed Grant Thornton 's audit procedures .
64,"U.S. forces struck dozens of targets on Monday , killing six guerrillas and arresting 21 others , the military said .",Not Paraphrase,"U.S. forces struck dozens of targets on Monday , killing six guerrillas and arresting 99 others during 1,729 patrols and 25 raids conducted over 24 hours ."
65,"The traditional Mediterranean diet puts the emphasis on vegetables , legumes , fruits , nuts , cereals and olive oil .",Paraphrase,"The traditional Mediterranean diet contains many components , including a high intake of fruits and vegetables , nuts and cereals , and olive oil ."
66,"NBC also is introducing three new dramas , including one starring West Wing fugitive Rob Lowe as a Washington lawyer .",Paraphrase,"Three new dramas , including one starring The West Wing refugee Rob Lowe , will also be on the schedule , NBC announced yesterday ."
67,"Knight agreed to a two-year , $ 2.38 million contract that included a $ 300,000 signing bonus .",Paraphrase,"ESPN reported that Knight 's two-year deal is worth $ 2.38 million , including a $ 300,000 signing bonus ."
68,"The victims were not identified , although authorities said at least one of the bodies had been there about a year .",Paraphrase,"The two victims buried in the yard were not identified , though authorities said at least one has been there about a year ."
69,"Swartz , indicted in February , had argued that New Hampshire was the wrong place to charge him .",Not Paraphrase,"Swartz had sought to have the charges dismissed , saying New Hampshire was the wrong place to charge him ."
70,"Monday 's attacks Monday were among the deadliest against Americans since Sept . 11 , 2001 .",Paraphrase,They were the deadliest terrorist attacks against Americans since September 11 .
71,"She first went to a specialist for initial tests last Monday , feeling tired and unwell .",Not Paraphrase,"The star , who plays schoolgirl Nina Tucker in Neighbours , went to a specialist on June 30 feeling tired and unwell ."
72,"Spinnaker employs roughly 83 people ; NetApp employs 2,400 .",Not Paraphrase,"Spinnaker employs 83 people , most of whom are engineers ."
73,"Heavy weekend rain and runoff from heavy snowmelt sent a mountain creek on a rampage , washing out a culvert and opening the sinkhole in I-70 east of Vail .",Paraphrase,"Rain and runoff from heavy snow sent a mountain creek on a rampage , washing out a culvert and opening a 22-foot-wide sinkhole in Interstate 70 east of Vail ."
74,New chief executive Mark McInnes has already said that capping costs would be the number one priority for David Jones as part of the review process .,Paraphrase,Newly appointed chief executive Mark McInnes has already said that capping costs would be the number one issue David Jones would tackle as a result of the review .
75,Stocks dipped lower Tuesday as investors opted to cash in profits from Monday 's big rally despite a trio of reports suggesting modest improvement in the economy .,Not Paraphrase,Wall Street moved tentatively higher Tuesday as investors weighed a trio of reports showing modest economic improvement against an urge to cash in profits from Monday 's big rally .
76,"Shares in BA were down 1.5 percent at 168 pence by 1420 GMT , off a low of 164p , in a slightly stronger overall London market .",Paraphrase,"Shares in BA were down three percent at 165-1 / 4 pence by 0933 GMT , off a low of 164 pence , in a stronger market ."
77,"Gartner 's report said global WLAN equipment shipments reached 19.5 million last year , a 120 percent increase over 2001 's 8.9 million units .",Paraphrase,"Total shipments reached 19.5 million units last year , compared with 8.9 million units in 2001 ."
78,"In two weeks , he 'll probably send out Peace Rules in the Preakness .",Paraphrase,Frankel said Peace Rules will run in the Preakness Stakes on May 17 .
79,"After posting $ 3 million bail , Jackson flew to Las Vegas , where he had been working on a video .",Paraphrase,"Since posting a $ 3 million bond , Jackson has been keeping a low profile in Las Vegas , where he had been filming a music video ."
80,That kept the records sealed as Limbaugh 's attorneys prepared to file an appeal .,Paraphrase,"A day later , Winikoff sealed the records again to give Limbaugh 's attorneys time to appeal ."
81,""" If we could do that throughout the world , we could end terrorism , "" he said .",Paraphrase,"This is a hospital that treats everybody as people , and if we could do that throughout the world , we could end terrorism . """
82,"In an appearance before a parliamentary committee on Tuesday , Mr. Blair suggested that only "" evidence of weapons programs "" rather than the weapons themselves would be uncovered .",Paraphrase,"On Tuesday , Blair suggested that only "" evidence of weapons programs "" rather than the weapons themselves would be uncovered ."
83,"The Bush administration should make public the fact about Saudi Arabia 's complicity with terrorists rather than worry about offending the kingdom , lawmakers said Sunday .",Paraphrase,"The Bush administration should make public facts about purported Saudi Arabian complicity with terrorists rather than worry about offending the kingdom , several legislators said yesterday ."
84,It predicted that a 7.0 percent rise to $ 204.9 billion in 2006 would push the industry 's yearly sales slightly past its highest-ever level in in 2000 .,Paraphrase,"It also predicted that a 7.0 per cent rise to $ 204.9bn in 2006 , topping the industry 's yearly sales record set in 2000 ."
85,"Closed sessions are routinely held at the United Nations tribunal that deals with Balkan war crimes , but usually to protect witnesses 's safety .",Paraphrase,"Closed sessions are routinely held at the U.N. tribunal that deals with Balkan war crimes , but they are usually closed to protect witnesses who fear for their safety ."
86,The poll shows Bill White supported by 53 percent of surveyed voters -- Orlando Sanchez by 35 percent .,Paraphrase,"The latest 11 News / Houston Chronicle Poll shows White supported by 53 percent of surveyed voters , far ahead of Orlando Sanchez 's 35 percent ."
87,State government sources said Travis ' move was a direct result of the controversy over the Boudin parole decision .,Paraphrase,Sources say this decision was a direct result of the decision to release Boudin .
88,"Buchan responded by first noting that , in crafting the tax relief packages , "" the president has always had both the short-term and the long-term in mind . """,Paraphrase,""" In crafting the tax relief packages , the president has always had both the short-term and the long-term in mind , "" Buchan said ."
89,"Dennehy , who transferred to Baylor last year after getting kicked off the University of New Mexico Lobos for temper tantrums , had begun to read the Bible daily .",Paraphrase,"Dennehy , who transferred to Baylor last year after getting kicked off the University of New Mexico Lobos for temper tantrums , became a born-again Christian in June 2002 ."
90,"It was third time lucky for Hempleman-Adams , 46 , after two previous abandoned attempts to make ballooning history .",Paraphrase,It was third time lucky for the 46-year-old explorer who twice had to abandon attempts to make ballooning history .
91,"Actor Arnold Schwarzenegger is leaving backers in suspense , and former Los Angeles Mayor Richard Riordan will consider if the Terminator balks .",Not Paraphrase,Arnold Schwarzenegger and former Los Angeles Mayor Richard Riordan may jump in by the Aug. 9 deadline to file .
92,"His lawyer , Pamela MacKey , said Bryant expects to be completely exonerated .",Not Paraphrase,""" Mr. Bryant is innocent and expects to be completely exonerated , "" Mackey said in a statement ."
93,British Airways ' New York-to-London runs will end in October .,Paraphrase,British Airways plans to retire its seven Concordes at the end of October .
94,Squyres is principal investigator for the Athena payload - a collection of science instruments carted by each rover .,Paraphrase,"Steve Squyres , a Cornell University scientist , is principal investigator for the missions ' science instruments ."
95,"From Florida to Alaska , thousands of revelers vowed to push for more legal rights , including same-sex marriages .",Paraphrase,"Thousands of revellers , celebrating the decision , vowed to push for more legal rights , including same-sex marriages ."
96,"Added Mr. Prodi : "" Maybe , but the old age helps us to understand our strengths and our weakness . """,Not Paraphrase,""" Maybe , but the old age helps us to understand our strength and our weakness and the reality of the world ."
97,The banks neither admit nor deny the SEC charges under the settlements .,Paraphrase,The banks neither admitted nor denied the charges as part of the agreement .
98,A bill that would have fully legalized marijuana for medical purposes in Connecticut was narrowly defeated in the House of Representatives on Wednesday .,Paraphrase,"A move to legalize marijuana for medical use was defeated yesterday in the state House of Representatives , 79-64 ."
99,The union had not yet revealed which chain would be targeted .,Paraphrase,The union said it would reveal later which chain would be targeted .
